Body_Length,Feed,Area
34.873,A,X
28.165,A,X
28.415,A,X
26.781,A,X
32.596,A,X
23.095,A,X
35.234,A,X
27.716,A,X
30.957,A,X
29.252,A,X
34.386,A,X
23.82,A,X
29.033,A,X
28.848,A,X
33.401,A,X
26.7,A,X
29.483,A,X
27.366,A,X
30.127,A,X
31.748,A,X
26.698,A,X
33.434,A,X
32.705,A,X
31.507,A,X
32.703,A,X
27.949,A,X
29.631,A,X
27.193,A,X
29.196,A,X
31.591,A,X
37.925,B,X
38.81,B,X
37.938,B,X
37.464,B,X
37.986,B,X
39.962,B,X
36.648,B,X
40.703,B,X
44.979,B,X
42.226,B,X
39.424,B,X
37.337,B,X
37.759,B,X
45.077,B,X
40.152,B,X
38.089,B,X
40.573,B,X
46.301,B,X
40.36,B,X
41.852,B,X
40.901,B,X
38.943,B,X
36.572,B,X
38.952,B,X
39.373,B,X
41.76,B,X
42.517,B,X
42.793,B,X
40.857,B,X
42.655,B,X
32.737,C,X
38.759,C,X
36.539,C,X
34.106,C,X
36.466,C,X
34.773,C,X
38.395,C,X
39.559,C,X
41.557,C,X
30.811,C,X
30.668,C,X
33.487,C,X
35.48,C,X
37.629,C,X
35.947,C,X
28.933,C,X
34.081,C,X
37.484,C,X
35.69,C,X
37.286,C,X
34.333,C,X
34.398,C,X
35.56,C,X
36.23,C,X
35.595,C,X
35.357,C,X
32.988,C,X
36.133,C,X
35.365,C,X
38.388,C,X
33.398,A,Y
31.37,A,Y
30.249,A,Y
29.723,A,Y
31.847,A,Y
31.155,A,Y
30.312,A,Y
31.087,A,Y
29.76,A,Y
32.396,A,Y
30.106,A,Y
33.449,A,Y
31.807,A,Y
32.187,A,Y
28.81,A,Y
31.339,A,Y
32.481,A,Y
29.093,A,Y
30.468,A,Y
31.065,A,Y
28.254,A,Y
31.63,A,Y
32.692,A,Y
29.281,A,Y
31.701,A,Y
28.375,A,Y
30.923,A,Y
27.768,A,Y
33.243,A,Y
31.818,A,Y
40.426,B,Y
38.175,B,Y
44.321,B,Y
46.401,B,Y
34.926,B,Y
44.208,B,Y
45.383,B,Y
41.514,B,Y
36.902,B,Y
43.09,B,Y
39.957,B,Y
38.688,B,Y
36.81,B,Y
42.152,B,Y
42.878,B,Y
38.629,B,Y
42.062,B,Y
37.067,B,Y
42.906,B,Y
40.64,B,Y
39.94,B,Y
40.195,B,Y
43.107,B,Y
42.751,B,Y
42.088,B,Y
40.913,B,Y
40.733,B,Y
42.355,B,Y
41.197,B,Y
42.548,B,Y
33.88,C,Y
29.63,C,Y
36.578,C,Y
38.874,C,Y
35.383,C,Y
34.3,C,Y
34.227,C,Y
34.262,C,Y
34.535,C,Y
32.256,C,Y
33.466,C,Y
32.506,C,Y
34.998,C,Y
33.907,C,Y
35.49,C,Y
34.151,C,Y
36.473,C,Y
34.927,C,Y
38.881,C,Y
30.707,C,Y
33.206,C,Y
36.303,C,Y
39.557,C,Y
34.003,C,Y
34.587,C,Y
34.047,C,Y
37.163,C,Y
33.925,C,Y
35.86,C,Y
33.86,C,Y
