Order,area,price,OverallQual,OverallCond,YearBuilt,BsmtFinSF1,X1stFlrSF,X2ndFlrSF
1,1710,208500,7,5,2003,706,856,854
2,1262,181500,6,8,1976,978,1262,0
3,1786,223500,7,5,2001,486,920,866
4,1717,140000,7,5,1915,216,961,756
5,2198,250000,8,5,2000,655,1145,1053
6,1362,143000,5,5,1993,732,796,566
7,1694,307000,8,5,2004,1369,1694,0
8,2090,200000,7,6,1973,859,1107,983
9,1774,129900,7,5,1931,0,1022,752
10,1077,118000,5,6,1939,851,1077,0
11,1040,129500,5,5,1965,906,1040,0
12,2324,345000,9,5,2005,998,1182,1142
13,912,144000,5,6,1962,737,912,0
14,1494,279500,7,5,2006,0,1494,0
15,1253,157000,6,5,1960,733,1253,0
16,854,132000,7,8,1929,0,854,0
17,1004,149000,6,7,1970,578,1004,0
18,1296,90000,4,5,1967,0,1296,0
19,1114,159000,5,5,2004,646,1114,0
20,1339,139000,5,6,1958,504,1339,0
21,2376,325300,8,5,2005,0,1158,1218
22,1108,139400,7,7,1930,0,1108,0
23,1795,230000,8,5,2002,0,1795,0
24,1060,129900,5,7,1976,840,1060,0
25,1060,154000,5,8,1968,188,1060,0
26,1600,256300,8,5,2007,0,1600,0
27,900,134800,5,7,1951,234,900,0
28,1704,306000,8,5,2007,1218,1704,0
29,1600,207500,5,6,1957,1277,1600,0
30,520,68500,4,6,1927,0,520,0
31,1317,40000,4,4,1920,0,649,668
32,1228,149350,5,6,1966,0,1228,0
33,1234,179900,8,5,2007,0,1234,0
34,1700,165500,5,5,1959,1018,1700,0
35,1561,277500,9,5,2005,1153,1561,0
36,2452,309000,8,5,2004,0,1132,1320
37,1097,145000,5,5,1994,0,1097,0
38,1297,153000,5,6,1954,1213,1297,0
39,1057,109000,5,7,1953,731,1057,0
40,1152,82000,4,5,1955,0,1152,0
41,1324,160000,6,5,1965,643,1324,0
42,1328,170000,5,6,1959,967,1328,0
43,884,144000,5,7,1983,747,884,0
44,938,130250,5,6,1975,280,938,0
45,1150,141000,5,6,1959,179,1150,0
46,1752,319900,9,5,2005,456,1752,0
47,2149,239686,7,5,2003,1351,1518,631
48,1656,249700,8,5,2006,24,1656,0
49,1452,113000,4,5,1920,0,736,716
50,955,127000,5,7,1966,763,955,0
51,1470,177000,6,6,1997,182,794,676
52,1176,114500,6,6,1934,0,816,0
53,816,110000,5,5,1963,104,816,0
54,1842,385000,9,5,1981,1810,1842,0
55,1360,130000,5,5,1955,384,1360,0
56,1425,180500,6,5,1964,490,1425,0
57,1739,172500,8,5,1999,649,983,756
58,1720,196500,7,5,2004,0,860,860
59,2945,438780,10,5,2006,0,1426,1519
60,780,124900,5,7,1972,632,780,0
61,1158,158000,6,5,2004,941,1158,0
62,1111,101000,5,7,1920,0,581,530
63,1370,202500,8,5,2006,24,1370,0
64,1710,140000,7,6,1921,0,902,808
65,2034,219500,7,5,1997,739,1057,977
66,2473,317000,8,5,2004,0,1143,1330
67,2207,180000,7,5,1970,912,2207,0
68,1479,226000,7,5,2003,1013,1479,0
69,747,80000,4,6,1945,0,747,0
70,2287,225000,7,4,1953,603,1304,983
71,2223,244000,7,6,1973,1880,2223,0
72,845,129500,4,6,1982,565,845,0
73,1718,185000,7,5,1998,0,885,833
74,1086,144900,5,7,1954,320,1086,0
75,1605,107400,3,6,1915,0,840,765
76,988,91000,4,5,1973,462,526,462
77,952,135750,4,7,1956,228,952,0
78,1285,127000,5,5,1948,336,1072,213
79,1768,136500,4,5,1968,0,1768,0
