Home,Away,Home_Goals,Away_Goals
G-Olympus,Koban,2,3
Hirostar,Urawind,1,0
Nagomi,Shimizun,1,0
Savan Taurus,C-Osario,0,0
Sapporia,Iwana,0,0
Vegalia Senda,Kashirama,1,0
Kawasari Foresta,Ablihex Nimbus,1,0
Obiya Arcadia,FC Torii,0,1
Kashiwave,Yomoyama Mystic,3,3
Ablihex Nimbus,Obiya Arcadia,1,2
C-Osario,G-Olympus,2,1
Kashirama,Kawasari Foresta,0,1
Urawind,Kashiwave,1,0
Yomoyama Mystic,Vegalia Senda,0,2
Shimizun,Hirostar,2,1
Iwana,Savan Taurus,2,1
Koban,Sapporia,2,1
FC Torii,Nagomi,3,2
Hirostar,Kashirama,2,0
Vegalia Senda,Obiya Arcadia,4,1
Kawasari Foresta,C-Osario,0,1
Koban,FC Torii,0,2
Savan Taurus,Yomoyama Mystic,1,0
Sapporia,Urawind,1,2
Kashiwave,Shimizun,2,1
Nagomi,Ablihex Nimbus,2,1
G-Olympus,Iwana,1,2
Obiya Arcadia,Nagomi,1,1
FC Torii,Hirostar,0,1
C-Osario,Vegalia Senda,1,2
Iwana,Kashiwave,1,0
Urawind,Kawasari Foresta,1,1
Ablihex Nimbus,G-Olympus,1,1
Shimizun,Sapporia,1,0
Savan Taurus,Koban,3,0
Yomoyama Mystic,Kashirama,0,0
Koban,Shimizun,0,1
Nagomi,Savan Taurus,1,0
Sapporia,Kashiwave,0,2
Vegalia Senda,Iwana,2,2
Ablihex Nimbus,Yomoyama Mystic,0,0
Obiya Arcadia,C-Osario,0,3
Kashirama,Urawind,1,3
Hirostar,G-Olympus,4,1
Kawasari Foresta,FC Torii,0,1
FC Torii,Kashirama,1,2
Kashiwave,Vegalia Senda,2,3
Yomoyama Mystic,Obiya Arcadia,1,1
Urawind,Koban,2,0
Nagomi,Sapporia,3,1
Shimizun,Iwana,3,2
Savan Taurus,Hirostar,1,0
C-Osario,Ablihex Nimbus,0,1
G-Olympus,Kawasari Foresta,3,2
Hirostar,Nagomi,1,1
Iwana,Yomoyama Mystic,1,0
Koban,Kashiwave,3,1
Sapporia,Kawasari Foresta,2,3
Kashirama,C-Osario,3,2
Savan Taurus,Ablihex Nimbus,1,0
Obiya Arcadia,Urawind,2,0
Vegalia Senda,FC Torii,4,0
G-Olympus,Shimizun,3,1
FC Torii,Shimizun,0,1
Nagomi,Urawind,1,2
Kashiwave,Savan Taurus,1,1
Kawasari Foresta,Hirostar,1,4
Kashirama,G-Olympus,5,0
Ablihex Nimbus,Vegalia Senda,0,1
Obiya Arcadia,Sapporia,2,1
Yomoyama Mystic,Koban,3,1
C-Osario,Iwana,3,2
Koban,Obiya Arcadia,3,0
Sapporia,C-Osario,1,0
Kawasari Foresta,Iwana,4,3
Hirostar,Ablihex Nimbus,0,1
Savan Taurus,Vegalia Senda,1,1
Shimizun,Kashirama,3,0
Urawind,Yomoyama Mystic,1,2
C-Osario,Koban,1,2
Vegalia Senda,Shimizun,0,1
Yomoyama Mystic,Sapporia,2,1
Kashiwave,Hirostar,2,5
Iwana,Urawind,2,2
Nagomi,Kawasari Foresta,2,3
Obiya Arcadia,G-Olympus,1,0
Ablihex Nimbus,FC Torii,0,2
Kashirama,Savan Taurus,0,0
Sapporia,FC Torii,0,1
Iwana,Kashirama,3,0
Savan Taurus,Obiya Arcadia,1,1
Hirostar,Yomoyama Mystic,1,3
Kawasari Foresta,Kashiwave,0,2
Shimizun,C-Osario,1,1
Urawind,Ablihex Nimbus,1,1
Koban,Nagomi,0,1
G-Olympus,Vegalia Senda,1,1
Hirostar,Koban,3,2
Yomoyama Mystic,G-Olympus,0,0
Ablihex Nimbus,Iwana,1,6
Urawind,Shimizun,1,0
Obiya Arcadia,Kawasari Foresta,0,2
Kashirama,Sapporia,7,0
Vegalia Senda,Nagomi,4,0
C-Osario,Kashiwave,1,2
FC Torii,Savan Taurus,3,2
G-Olympus,Savan Taurus,2,3
Nagomi,C-Osario,0,1
Kawasari Foresta,Vegalia Senda,3,2
Sapporia,Hirostar,1,3
Shimizun,Yomoyama Mystic,0,0
Iwana,Obiya Arcadia,4,0
Koban,Kashirama,1,2
Kashiwave,Ablihex Nimbus,2,0
FC Torii,Urawind,1,1
Vegalia Senda,Sapporia,4,1
Kashirama,Nagomi,2,3
Ablihex Nimbus,Shimizun,1,0
C-Osario,Hirostar,1,4
G-Olympus,Urawind,1,2
Iwana,Koban,1,3
Obiya Arcadia,Kashiwave,2,4
Savan Taurus,Kawasari Foresta,0,1
Yomoyama Mystic,FC Torii,1,0
Sapporia,G-Olympus,0,4
FC Torii,C-Osario,2,0
Shimizun,Savan Taurus,1,1
Hirostar,Obiya Arcadia,0,0
Kashiwave,Kashirama,1,1
Kawasari Foresta,Yomoyama Mystic,0,0
Koban,Ablihex Nimbus,1,0
Nagomi,Iwana,2,0
Urawind,Vegalia Senda,0,0
FC Torii,Kashiwave,0,1
G-Olympus,Nagomi,2,2
Yomoyama Mystic,Nagomi,1,1
Vegalia Senda,Hirostar,2,2
Ablihex Nimbus,Kashirama,1,1
C-Osario,Urawind,1,1
G-Olympus,Kashiwave,2,6
Iwana,FC Torii,3,1
Kawasari Foresta,Koban,0,1
Obiya Arcadia,Shimizun,1,0
Savan Taurus,Sapporia,1,0
Sapporia,Ablihex Nimbus,0,1
Shimizun,Kawasari Foresta,0,0
Urawind,Savan Taurus,4,3
FC Torii,G-Olympus,3,2
Kashirama,Obiya Arcadia,1,0
Hirostar,Iwana,2,0
Kashiwave,Nagomi,1,2
Koban,Vegalia Senda,0,1
Yomoyama Mystic,C-Osario,1,1
Shimizun,Kashiwave,3,5
Ablihex Nimbus,Urawind,0,0
C-Osario,Kashirama,0,1
G-Olympus,Yomoyama Mystic,1,2
Hirostar,Kawasari Foresta,3,0
Iwana,Sapporia,4,1
Nagomi,Vegalia Senda,0,0
Obiya Arcadia,Koban,2,2
Savan Taurus,FC Torii,1,0
Sapporia,Nagomi,2,1
Urawind,Iwana,2,0
FC Torii,Ablihex Nimbus,0,2
Kashirama,Hirostar,2,2
Vegalia Senda,Savan Taurus,1,1
Kashiwave,C-Osario,4,1
Kawasari Foresta,Obiya Arcadia,4,1
Koban,G-Olympus,1,1
Yomoyama Mystic,Shimizun,3,0
Urawind,FC Torii,2,2
Vegalia Senda,Yomoyama Mystic,2,2
Ablihex Nimbus,Kashiwave,1,1
C-Osario,Sapporia,4,0
G-Olympus,Obiya Arcadia,3,1
Hirostar,Shimizun,1,2
Iwana,Kawasari Foresta,2,2
Nagomi,Koban,5,1
Savan Taurus,Kashirama,2,0
