Total_bill,Tip,Sex,Smoker,Day,Time,Size,Tax
16.99,1.01,Female,No,Sun,Dinner,2,1.699
10.34,1.66,Male,No,Sun,Dinner,3,1.034
21.01,3.5,Male,No,Sun,Dinner,3,2.101
23.68,3.31,Male,No,Sun,Dinner,2,2.368
24.59,3.61,Female,No,Sun,Dinner,4,2.459
25.29,4.71,Male,No,Sun,Dinner,4,
8.77,2,Male,No,Sun,Dinner,2,0.877
26.88,3.12,Male,No,Sun,Dinner,4,2.688
15.04,1.96,Male,No,Sun,Dinner,2,1.504
14.78,3.23,Male,No,Sun,Dinner,2,1.478
10.27,1.71,Male,No,Sun,Dinner,2,1.027
35.26,5,Female,No,Sun,Dinner,4,3.526
15.42,1.57,Male,No,Sun,Dinner,2,1.542
18.43,3,Male,No,Sun,Dinner,4,1.843
14.83,3.02,Female,No,Sun,Dinner,2,1.483
,3.92,Male,No,Sun,Dinner,2,2.158
10.33,1.67,Female,No,Sun,Dinner,3,1.033
16.29,3.71,Male,No,Sun,Dinner,3,1.629
16.97,3.5,Female,No,Sun,Dinner,3,1.697
20.65,3.35,Male,No,Sat,Dinner,3,2.065
17.92,4.08,Male,No,Sat,Dinner,2,1.792
20.29,2.75,Female,No,Sat,Dinner,2,2.029
15.77,2.23,Female,No,Sat,Dinner,2,1.577
39.42,7.58,Male,No,Sat,Dinner,4,3.942
19.82,3.18,Male,No,Sat,Dinner,2,1.982
17.81,2.34,Male,No,Sat,Dinner,4,1.781
13.37,2,Male,No,Sat,Dinner,2,1.337
12.69,2,Male,No,Sat,Dinner,2,1.269
21.7,4.3,Male,No,Sat,Dinner,2,2.17
19.65,3,Female,No,Sat,Dinner,2,1.965
9.55,1.45,Male,No,Sat,Dinner,2,0.955
18.35,2.5,Male,No,Sat,Dinner,4,1.835
15.06,3,Female,No,Sat,Dinner,2,1.506
20.69,2.45,Female,No,Sat,Dinner,4,2.069
,3.27,Male,No,Sat,Dinner,2,1.778
24.06,3.6,Male,No,Sat,Dinner,3,2.406
16.31,2,Male,No,Sat,Dinner,3,1.631
16.93,3.07,Female,No,Sat,Dinner,3,
18.69,2.31,Male,No,Sat,Dinner,3,1.869
31.27,5,Male,No,Sat,Dinner,3,3.127
16.04,2.24,Male,No,Sat,Dinner,3,1.604
17.46,2.54,Male,No,Sun,Dinner,2,1.746
13.94,3.06,Male,No,Sun,Dinner,2,1.394
,1.32,Male,No,Sun,Dinner,2,0.968
30.4,5.6,Male,No,Sun,Dinner,4,3.04
18.29,3,Male,No,Sun,Dinner,2,1.829
22.23,5,Male,No,Sun,Dinner,2,2.223
32.4,6,Male,No,Sun,Dinner,4,3.24
28.55,2.05,Male,No,Sun,Dinner,3,2.855
18.04,3,Male,No,Sun,Dinner,2,1.804
12.54,2.5,Male,No,Sun,Dinner,2,1.254
10.29,2.6,Female,No,Sun,Dinner,2,1.029
34.81,5.2,Female,No,Sun,Dinner,4,3.481
9.94,1.56,Male,No,Sun,Dinner,2,0.994
25.56,4.34,Male,No,Sun,Dinner,4,2.556
19.49,3.51,Male,No,Sun,Dinner,2,1.949
38.01,3,Male,Yes,Sat,Dinner,4,3.801
26.41,1.5,Female,No,Sat,Dinner,2,2.641
11.24,1.76,Male,Yes,Sat,Dinner,2,1.124
48.27,6.73,Male,No,Sat,Dinner,4,4.827
20.29,3.21,Male,Yes,Sat,Dinner,2,2.029
13.81,2,Male,Yes,Sat,Dinner,2,1.381
11.02,1.98,Male,Yes,Sat,Dinner,2,1.102
18.29,3.76,Male,Yes,Sat,Dinner,4,1.829
17.59,2.64,Male,No,Sat,Dinner,3,1.759
20.08,3.15,Male,No,Sat,Dinner,3,2.008
16.45,2.47,Female,No,Sat,Dinner,2,1.645
3.07,1,Female,Yes,Sat,Dinner,1,0.307
20.23,2.01,Male,No,Sat,Dinner,2,2.023
15.01,2.09,Male,Yes,Sat,Dinner,2,1.501
,1.97,Male,No,Sat,Dinner,2,1.202
17.07,3,Female,No,Sat,Dinner,3,1.707
26.86,3.14,Female,Yes,Sat,Dinner,2,2.686
25.28,5,Female,Yes,Sat,Dinner,2,2.528
14.73,2.2,Female,No,Sat,Dinner,2,1.473
10.51,1.25,Male,No,Sat,Dinner,2,1.051
17.92,3.08,Male,Yes,Sat,Dinner,2,1.792
27.2,4,Male,No,Thur,Lunch,4,2.72
22.76,3,Male,No,Thur,Lunch,2,2.276
17.29,2.71,Male,No,Thur,Lunch,2,1.729
19.44,3,Male,Yes,Thur,Lunch,2,1.944
16.66,3.4,Male,No,Thur,Lunch,2,1.666
10.07,1.83,Female,No,Thur,Lunch,1,1.007
32.68,5,Male,Yes,Thur,Lunch,2,3.268
15.98,2.03,Male,No,Thur,Lunch,2,1.598
34.83,5.17,Female,No,Thur,Lunch,4,3.483
13.03,2,Male,No,Thur,Lunch,2,1.303
18.28,4,Male,No,Thur,Lunch,2,1.828
24.71,5.85,Male,No,Thur,Lunch,2,2.471
21.16,3,Male,No,Thur,Lunch,2,2.116
28.97,3,Male,Yes,Fri,Dinner,2,2.897
22.49,3.5,Male,No,Fri,Dinner,2,2.249
5.75,1,Female,Yes,Fri,Dinner,2,0.575
16.32,4.3,Female,Yes,Fri,Dinner,2,1.632
22.75,3.25,Female,No,Fri,Dinner,2,2.275
40.17,4.73,Male,Yes,Fri,Dinner,4,4.017
27.28,4,Male,Yes,Fri,Dinner,2,2.728
12.03,1.5,Male,Yes,Fri,Dinner,2,1.203
21.01,3,Male,Yes,Fri,Dinner,2,2.101
12.46,1.5,Male,No,Fri,Dinner,2,1.246
11.35,2.5,Female,Yes,Fri,Dinner,2,1.135
15.38,3,Female,Yes,Fri,Dinner,2,1.538
